technique_id,technique,tactics,audit_category,audit_sub_category,event_id
T1546.002,Screensaver,persistence; privilege-escalation,Object Access,Registry,4657
T1546.007,Netsh Helper DLL,persistence; privilege-escalation,Object Access,Registry,4657
T1546.008,Accessibility Features,persistence; privilege-escalation,Object Access,Registry,4657
T1546.009,AppCert DLLs,persistence; privilege-escalation,Object Access,Registry,4657
T1546.010,AppInit DLLs,persistence; privilege-escalation,Object Access,Registry,4657
T1546.011,Application Shimming,persistence; privilege-escalation,Object Access,Registry,4657
T1546.012,Image File Execution Options Injection,persistence; privilege-escalation,Object Access,Registry,4657
T1546.015,Component Object Model Hijacking,persistence; privilege-escalation,Object Access,Registry,4657
T1547,Boot or Logon Autostart Execution,persistence; privilege-escalation,Object Access,Registry,4657
T1547.001,Registry Run Keys / Startup Folder,persistence; privilege-escalation,Object Access,Registry,4657
T1547.002,Authentication Package,persistence; privilege-escalation,Object Access,Registry,4657
T1547.003,Time Providers,persistence; privilege-escalation,Object Access,Registry,4657
T1547.004,Winlogon Helper DLL,persistence; privilege-escalation,Object Access,Registry,4657
T1547.005,Security Support Provider,persistence; privilege-escalation,Object Access,Registry,4657
T1547.010,Port Monitors,persistence; privilege-escalation,Object Access,Registry,4657
T1547.012,Print Processors,persistence; privilege-escalation,Object Access,Registry,4657
T1547.014,Active Setup,persistence; privilege-escalation,Object Access,Registry,4657
T1548,Abuse Elevation Control Mechanism,defense-evasion; privilege-escalation,Object Access,Registry,4657
T1548.002,Bypass User Account Control,defense-evasion; privilege-escalation,Object Access,Registry,4657
T1553,Subvert Trust Controls,defense-evasion,Object Access,Registry,4657
T1553.003,SIP and Trust Provider Hijacking,defense-evasion,Object Access,Registry,4657
T1553.004,Install Root Certificate,defense-evasion,Object Access,Registry,4657
T1553.006,Code Signing Policy Modification,defense-evasion,Object Access,Registry,4657
T1556,Modify Authentication Process,persistence; defense-evasion; credential-access,Object Access,Registry,4657
T1556.002,Password Filter DLL,persistence; defense-evasion; credential-access,Object Access,Registry,4657
T1557,Adversary-in-the-Middle,collection; credential-access,Object Access,Registry,4657
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,collection; credential-access,Object Access,Registry,4657
T1562,Impair Defenses,defense-evasion,Object Access,Registry,4657
T1562.001,Disable or Modify Tools,defense-evasion,Object Access,Registry,4657
T1562.004,Disable or Modify System Firewall,defense-evasion,Object Access,Registry,4657
T1562.006,Indicator Blocking,defense-evasion,Object Access,Registry,4657
T1562.009,Safe Mode Boot,defense-evasion,Object Access,Registry,4657
T1564,Hide Artifacts,defense-evasion,Object Access,Registry,4657
