service,action,AWS Service,Description,Resource type (console),resources.type,eventType,eventCategory,eventName,ACSC Recommended,ACSC Logging Condition
access-analyzer,CreateAnalyzer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,CreateArchiveRule,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,CreateServiceLinkedAnalyzer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,DeleteAnalyzer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,DeleteArchiveRule,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,DeleteServiceLinkedAnalyzer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,GenerateFindingRecommendation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,GetAccessPreview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,GetAnalyzedResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,GetAnalyzer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,GetArchiveRule,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,GetFinding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,GetFindingRecommendation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,GetFindingsStatistics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,GetGeneratedPolicy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,ListAccessPreviewFindings,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,ListAccessPreviews,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,ListAnalyzedResources,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,ListAnalyzers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,ListArchiveRules,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,ListFindings,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,ListPolicyGenerations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,ListTagsForResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,StartPolicyGeneration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,StartResourceScan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,TagResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,UntagResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,UpdateAnalyzer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,UpdateArchiveRule,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,UpdateFindings,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,ValidatePolicy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,AcceptPrimaryEmailUpdate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,CloseAccount,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,DeleteAlternateContact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,DisableRegion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,EnableRegion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,GetAccountInformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,GetAlternateContact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,GetContactInformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,GetGovCloudAccountInformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,GetPrimaryEmail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,GetPrimaryEmailUpdateStatus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,GetRegionOptStatus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,ListRegions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,PutAccountName,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,PutAlternateContact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,PutContactInformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account,StartPrimaryEmailUpdate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account-access,CreateApplication,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account-access,CreateEntitlement,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account-access,DeleteApplication,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account-access,DeleteEntitlement,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account-access,GetApplication,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account-access,GetEntitlement,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account-access,ListApplications,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account-access,ListEntitlements,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account-access,ListTagsForResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account-access,TagResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
account-access,UntagResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,AddTagsToCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,CreateAcmeDomainValidation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,CreateAcmeEndpoint,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,CreateAcmeExternalAccountBinding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,DeleteAcmeDomainValidation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,DeleteAcmeEndpoint,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,DeleteAcmeExternalAccountBinding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,DeleteCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,DescribeAcmeAccount,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,DescribeAcmeDomainValidation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,DescribeAcmeEndpoint,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,DescribeAcmeExternalAccountBinding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,DescribeCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,ExportCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,GetAccountConfiguration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,GetAcmeExternalAccountBindingCredentials,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,GetCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,ImportCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,ListAcmeAccounts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,ListAcmeDomainValidations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,ListAcmeEndpoints,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,ListAcmeExternalAccountBindings,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,ListCertificates,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,ListTagsForCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,ListTagsForResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,PutAccountConfiguration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,RemoveTagsFromCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,RenewCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,RequestCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,ResendValidationEmail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,RevokeAcmeAccount,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,RevokeAcmeExternalAccountBinding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,RevokeCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,SearchCertificates,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,TagResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,UntagResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,UpdateAcmeDomainValidation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,UpdateAcmeEndpoint,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,UpdateCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm,UpdateCertificateOptions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,CreateCertificateAuthority,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,CreateCertificateAuthorityAuditReport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,CreatePermission,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,DeleteCertificateAuthority,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,DeletePermission,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,DeletePolicy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,DescribeCertificateAuthority,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,DescribeCertificateAuthorityAuditReport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,GetCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,GetCertificateAuthorityCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,GetCertificateAuthorityCsr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,GetPolicy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,ImportCertificateAuthorityCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,IssueCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,ListCertificateAuthorities,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,ListPermissions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,ListTags,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,PutPolicy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,RestoreCertificateAuthority,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,RevokeCertificate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,TagCertificateAuthority,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,UntagCertificateAuthority,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acm-pca,UpdateCertificateAuthority,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,AssociateAccounts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,CreateAutomationRule,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,DeleteAutomationRule,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,DisassociateAccounts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,GetAutomationEvent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,GetAutomationRule,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
